            The	         O
         action	         O
           last	         O
          month	         O
             by	         O
            the	         O
        ratings	         O
         agency	         O
              "	         O
       reflects	         O
            the	         O
   consolidated	         O
         credit	         O
        quality	         O
             of	         O
           Aqua	     B-LOC
        America	     E-LOC
              ,	         O
          which	         O
          helps	         O
           Aqua	     B-ORG
   Pennsylvania	     E-ORG
         borrow	         O
          money	         O
             at	         O
          lower	         O
          rates	         O
              ,	         O
              "	         O
           Aqua	     B-ORG
        America	     E-ORG
           said	         O
              .	         O
         ******	         O
            The	         O
        company	         O
              ,	         O
          which	         O
        emerged	         O
           from	         O
     bankruptcy	         O
             in	         O
       December	         O
              ,	         O
           said	         O
          there	         O
           have	         O
           been	         O
             no	         O
  disagreements	         O
           with	         O
            PwC	     S-ORG
             on	         O
        matters	         O
        related	         O
             to	         O
              "	         O
     accounting	         O
     principles	         O
             or	         O
      practices	         O
              ,	         O
      financial	         O
      statement	         O
     disclosure	         O
             or	         O
       auditing	         O
          scope	         O
             or	         O
      procedure	         O
              "	         O
            for	         O
            the	         O
            two	         O
           most	         O
         recent	         O
         fiscal	         O
          years	         O
            and	         O
        through	         O
          April	         O
            27.	         O
         ******	         O
              "	         O
           This	         O
             is	         O
              a	         O
          major	         O

        rollout	         O
             of	         O
              a	         O
        billing	         O
         system	         O
            for	         O
            all	         O
             of	         O
           Xcel	     S-ORG
              ,	         O
              "	         O
            the	         O
       attorney	         O
           said	         O
              .	         O
         ******	         O
              "	         O
            The	         O
     government	         O
             of	         O
        Estonia	     S-LOC
              ,	         O
        through	         O
          Eesti	     B-LOC
        Energia	     E-LOC
              ,	         O
            has	         O
     undertaken	         O

    obligations	         O
        towards	         O
            NRG	     S-ORG
         energy	         O
           that	         O
            are	         O
        binding	         O
     agreements	         O
              ,	         O
              "	         O
            the	         O
           U.S.	     S-LOC

        Embassy	    S-MISC
           said	         O
             in	         O
              a	         O
      statement	         O
              .	         O
         ******	         O
              "	         O
              I	         O
       consider	         O
             it	         O
             to	         O
             be	         O
unconstitutional	         O
            and	         O
        against	         O
parliamentarian	         O

     principles	         O
             to	         O
          carry	         O
            out	         O
            the	         O
  privatisation	         O
             of	         O
        Estonia	     S-LOC
             's	         O
        largest	         O

  strategically	         O
      important	         O
       industry	         O
             in	         O
         secret	         O
           ...I	         O
            see	         O
       security	         O
          risks	         O
             in	         O

           this	         O
       behavior	         O
              ,	         O
              "	         O
           Meri	     S-PER
           said	         O
             in	         O
              a	         O
      statement	         O
              .	         O
         ******	         O
              "	         O
           This	         O
     indictment	         O
          shows	         O
           that	         O
             we	         O
           will	         O
    investigate	         O
          those	         O
    responsible	         O
            for	         O
       unlawful	         O
           acts	         O
           done	         O
             on	         O
              a	         O
        company	         O
             's	         O
         behalf	         O
              ,	         O
              "	         O
           said	         O
        Richard	     B-PER
    DesLauriers	     E-PER
              ,	         O
              a	         O
        special	         O
          agent	         O
             at	         O
            the	         O
        Federal	     B-ORG
         Bureau	     I-ORG
             of	     I-ORG
  Investigation	     E-ORG
              .	         O
         ******	         O
              "	         O
         Lauren	     B-PER
        Stevens	     E-PER
             is	         O
             an	         O
        utterly	         O
         decent	         O
            and	         O
      honorable	         O
          woman	         O
              ,	         O
              "	         O
          Brien	     B-PER
       O'Connor	     E-PER
           said	         O
              .	         O
         ******	         O
              A	         O
     memorandum	         O
            she	         O
      requested	         O
             to	         O
           help	         O
         decide	         O
        whether	         O
            she	         O
         should	         O
           hand	         O
           over	         O
            the	         O
          slide	         O
           sets	         O
         warned	         O
           that	         O
           such	         O
              a	         O
           move	         O
          would	         O
        provide	         O
              "	         O
  incriminating	         O
       evidence	         O
          about	         O
      potential	         O
            off	         O
              -	         O
          label	         O
      promotion	         O
             of	         O
              [	         O
            the	         O
           drug	         O
              ]	         O
           that	         O
            may	         O
             be	         O
           used	         O
        against	         O
              [	         O
            the	         O
        company	         O
              ]	         O
             in	         O
           this	         O
             or	         O
             in	         O
              a	         O
         future	         O
  investigation	         O
              ,	         O
              "	         O
            the	         O
     indictment	         O
           said	         O
              .	         O
         ******	         O
              "	         O
             It	         O
             's	         O
    unfortunate	         O
           that	         O
           this	         O
        product	         O
             is	         O
             no	         O
         longer	         O
      available	         O
           from	         O
            Jan	     B-PER
         Marini	     E-PER
        because	         O
             it	         O
          truly	         O
           does	         O
           grow	         O
            the	         O
      eyelashes	         O
            and	         O
            has	         O
              a	         O
   quantifiable	         O
        benefit	         O
              ,	         O
              "	         O
         unlike	         O
           many	         O
      so-called	         O
 cosmeceuticals	         O
              ,	         O
           said	         O
           Joel	     B-PER
   Schlessinger	     E-PER
              ,	         O
             an	         O
          Omaha	     S-LOC
              ,	         O
       Nebraska	     S-LOC
              ,	         O
  dermatologist	         O
            who	         O
          sells	         O
             it	         O
             in	         O
            his	         O
         office	         O
            and	         O
             on	         O
            his	         O
     LovelySkin	     B-ORG
           .com	     I-ORG
            Web	     E-ORG
           site	         O
              .	         O
         ******	         O
   Underscoring	         O
            its	         O
      intention	         O
             to	         O
   aggressively	         O
         defend	         O
              "	         O
            the	         O
         fruits	         O
             of	         O
              o	         O

             ur	         O
     scientists	         O
            and	         O
          other	         O
           hard	         O
           work	         O
              ,	         O
              "	         O
       Allergan	     S-ORG
           said	         O
             it	         O
            has	         O
              "	         O
             no	         O
      intention	         O
             of	         O
       settling	         O
            any	         O
           case	         O
             in	         O
              a	         O
         manner	         O
           that	         O
          would	         O
        empower	         O
              a	         O
      defendant	         O
             to	         O
       continue	         O
             to	         O
       infringe	         O
            our	         O
   intellectual	         O
       property	         O
      portfolio	         O
              .	         O
         ******	         O
              "	         O
             We	         O
           want	         O
             to	         O
        clearly	         O
    communicate	         O
